,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Children in HHS Care_lag_1,Children in HHS Care_lag_7,Children in HHS Care_lag_14,rolling_mean_7,rolling_var_7,HHS_Net_Pressure,HHS_Pressure_Trend,day_of_week,month,is_weekend
2023-01-12,33.0,53.0,34.0,6566.0,436.0,,,,,,-402.0,,3,1,0
2023-01-13,32.9,52.6,34.5,6621.6,415.1,6566.0,,,,,-380.6,,4,1,0
2023-01-14,32.8,52.2,35.0,6677.2,394.2,6621.6,,,,,-359.2,-1141.8,5,1,1
2023-01-15,32.7,51.8,35.5,6732.8,373.3,6677.2,,,,,-337.8,-1077.6,6,1,1
2023-01-16,32.6,51.4,36.0,6788.4,352.4,6732.8,,,,,-316.4,-1013.4,0,1,0
2023-01-17,32.5,51.0,36.5,6844.0,331.5,6788.4,,,,,-295.0,-949.2,1,1,0
2023-01-18,32.4,50.6,37.0,6899.6,310.6,6844.0,,,6732.8,14426.346666666526,-273.6,-885.0,2,1,0
2023-01-19,32.3,50.2,37.5,6955.2,289.70000000000005,6899.6,6566.0,,6788.400000000001,14426.346666666364,-252.20000000000005,-820.8000000000001,3,1,0
2023-01-20,32.2,49.8,38.0,7010.8,268.8,6955.2,6621.6,,6844.0,14426.346666666199,-230.8,-756.6000000000001,4,1,0
2023-01-21,32.1,49.4,38.5,7066.4,247.9,7010.8,6677.2,,6899.599999999999,14426.346666665953,-209.4,-692.4000000000001,5,1,1
2023-01-22,32.0,49.0,39.0,7122.0,227.0,7066.4,6732.8,,6955.2,14426.346666665791,-188.0,-628.2,6,1,1
2023-01-23,32.0,50.0,39.0,7280.0,181.0,7122.0,6788.4,,7025.428571428572,21617.752380951206,-142.0,-539.4,0,1,0
2023-01-24,47.0,42.0,47.0,7433.0,175.0,7280.0,6844.0,,7109.571428571428,35557.41904761752,-128.0,-458.0,1,1,0
2023-01-25,20.0,22.0,41.0,7538.0,180.0,7433.0,6899.6,,7200.771428571429,49097.57904761721,-139.0,-409.0,2,1,0
2023-01-26,20.75,27.75,33.5,7521.5,210.75,7538.0,6955.2,6566.0,7281.671428571428,48555.54904761693,-177.25,-444.25,3,1,0
2023-01-27,21.5,33.5,26.0,7505.0,241.5,7521.5,7010.8,6621.6,7352.271428571429,38824.51571428348,-215.5,-531.75,4,1,0
2023-01-28,22.25,39.25,18.5,7488.5,272.25,7505.0,7066.4,6677.2,7412.571428571428,24055.035714283327,-253.75,-646.5,5,1,1
2023-01-29,23.0,45.0,11.0,7472.0,303.0,7488.5,7122.0,6732.8,7462.571428571428,7655.035714283237,-292.0,-761.25,6,1,1
2023-01-30,34.0,54.0,29.0,7743.0,196.0,7472.0,7280.0,6788.4,7528.714285714285,10102.321428568843,-167.0,-712.75,0,1,0
2023-01-31,26.0,36.0,36.0,7803.0,158.0,7743.0,7433.0,6844.0,7581.571428571428,17854.702380949773,-122.0,-581.0,1,1,0
2023-02-01,25.0,32.0,27.0,7903.0,231.0,7803.0,7538.0,6899.6,7633.714285714285,31585.65476190219,-204.0,-493.0,2,2,0
2023-02-02,15.0,13.0,23.0,7879.0,298.0,7903.0,7521.5,6955.2,7684.785714285715,36471.48809523558,-275.0,-601.0,3,2,0
2023-02-03,15.333333333333334,14.666666666666666,20.333333333333332,7781.333333333333,312.6666666666667,7879.0,7505.0,7010.8,7724.2619047619055,30819.813492061043,-292.33333333333337,-771.3333333333334,4,2,0
2023-02-04,15.666666666666666,16.333333333333332,17.666666666666668,7683.666666666667,327.3333333333333,7781.333333333333,7488.5,7066.4,7752.142857142857,20923.624338621947,-309.66666666666663,-877.0,5,2,1
2023-02-05,16.0,18.0,15.0,7586.0,342.0,7683.666666666667,7472.0,7122.0,7768.428571428572,12134.767195764827,-327.0,-929.0,6,2,1
2023-02-06,11.0,22.0,12.0,7720.0,196.0,7586.0,7743.0,7280.0,7765.142857142857,12405.291005288644,-184.0,-820.6666666666666,0,2,0
2023-02-07,16.0,20.0,20.0,7855.0,200.0,7720.0,7803.0,7433.0,7772.571428571428,13447.767195764822,-180.0,-691.0,1,2,0
2023-02-08,93.0,196.0,169.0,7915.0,317.0,7855.0,7903.0,7538.0,7774.285714285715,13990.052910050545,-148.0,-512.0,2,2,0
2023-02-09,124.0,234.0,161.0,7908.0,353.0,7915.0,7879.0,7521.5,7778.428571428572,15122.433862431499,-192.0,-520.0,3,2,0
2023-02-10,113.33333333333333,223.66666666666666,165.0,7750.0,341.0,7908.0,7781.333333333333,7505.0,7773.952380952381,15232.349206346842,-176.0,-516.0,4,2,0
